# Benchmark GPU-STREAM running on  Tesla C2070
# Precision: double. Range: [204800 .. 102400000] step 409600
# For more details see https://github.com/UoB-HPC/GPU-STREAM
#  ArrayElements    ArraySize(MB)      Copy(MBytes/s)    Mul(MBytes/s)      Add(MBytes/s)      Triad(MBytes/s)
    93184000            710.93             103050.756          103268.105          101906.351          101860.647          
    93593600            714.06             102746.347          102844.417          101748.763          101666.422          
    94003200            717.18             102543.448          102718.541          101496.309          101509.388          
    94412800            720.31             103198.120          103020.181          101960.021          101922.863          
    94822400            723.43             102828.450          102717.588          102078.039          102008.051          
    95232000            726.56             102516.088          102500.675          101784.949          101890.797          
    95641600            729.68             103106.240          103279.263          101449.033          101422.425          
    96051200            732.81             102841.723          102939.389          101919.684          101879.101          
    96460800            735.93             102509.413          102589.360          101920.000          101917.178          
    96870400            739.06             103062.779          103445.679          101888.185          101845.163          
    97280000            742.18             102657.569          102726.657          101465.256          101447.087          
    97689600            745.31             102369.277          102675.024          101897.429          101819.541          
    98099200            748.43             103031.789          103293.188          102041.262          101946.831          
    98508800            751.56             102948.943          103034.958          101939.049          101922.780          
    98918400            754.68             102546.183          102753.574          101527.322          101561.600          
    99328000            757.81             103154.262          103151.919          101681.078          101740.479          
    99737600            760.93             102872.193          102893.498          101927.908          101906.089          
    100147200            764.06             102526.553          102561.846          102054.228          101961.101          
    100556800            767.18             102804.846          103458.155          101482.421          101668.743          
    100966400            770.31             102717.528          102822.553          101556.375          101610.207          
    101376000            773.43             102613.383          102650.574          101947.778          102005.095          
    101785600            776.56             103214.959          103143.739          102015.462          102047.607          
    102195200            779.68             102895.209          102730.413          101653.345          101776.196          
